original_filename,lab_sample_id,assigned_rid,method
000808_RedHookCS_501502 AsbestosPCB Containing Waste.pdf,8C02128-03,s:8C02128-01,single_report
000808_RedHookCS_501502 AsbestosPCB Containing Waste.pdf,8C02128-04,s:8C02128-01,single_report
000808_RedHookCS_501502 AsbestosPCB Containing Waste.pdf,8C02128-05,s:8C02128-01,single_report
000808_RedHookCS_501502 AsbestosPCB Containing Waste.pdf,8C02128-06,s:8C02128-01,single_report
000808_RedHookCS_501502 AsbestosPCB Containing Waste.pdf,8C02128-07,s:8C02128-01,single_report
000815_Fuller A Production 802.pdf,3D24094-09,s:3D24094-09,single_report
000821_Hickok (08-114)_802_PW 2023.pdf,30638338002,s:30638338002,single_report
000827_20250708141415520.pdf,30236211001,s:30236211001,single_report
000855_AXF3389_1 2019_Standard_Format_12.2.19 06 23 23 1738.pdf,AXF3389-01,s:AXF3389-01,single_report
000855_AXF3389_1 2019_Standard_Format_12.2.19 06 23 23 1738.pdf,AXF3389-02,s:AXF3389-01,single_report
000878_23D2073 FINAL AllDraftModified 19 May 23 1608.pdf,23D2073,s:23D2073,single_report
000881_23D2073 FINAL AllDraftModified 19 May 23 1608.pdf,23D2073,s:23D2073,single_report
000886_23D2072 FINAL AllDraftModified 19 May 23 1609.pdf,23D2072,s:23D2072,single_report
000886_XTO CRIM PAD (802) 112851PAW ARDEN.pdf,30556947001,s:30556947001,single_report
000911_23D2071 FINAL AllDraftModified 19 May 23 1610.pdf,23D2071,s:23D2071,single_report
000912_23D2072 FINAL AllDraftModified 19 May 23 1609.pdf,23D2072,s:23D2072,single_report
000914_Sawyer (08-376)_899_Cement_2023_final.pdf,AXE4074-01,s:AXE4074-01,single_report
000914_Sawyer (08-376)_899_Cement_2023_final.pdf,AXE4074-02,s:AXE4074-01,single_report
000916_SWRO Form 26R 2022 Signed-2-28-23.pdf,AWF1106-01,s:AWF1106-01,metadata_cluster
000916_SWRO Form 26R 2022 Signed-2-28-23.pdf,AWK5075-01,s:AWK5075-01,metadata_cluster
000916_SWRO Form 26R 2022 Signed-2-28-23.pdf,AWK5075-02,s:AWK5075-01,metadata_cluster
000916_SWRO Form 26R 2022 Signed-2-28-23.pdf,AWK4505-01,s:AWK4505-01,metadata_cluster
000916_SWRO Form 26R 2022 Signed-2-28-23.pdf,AWK4505-02,s:AWK4505-01,metadata_cluster
000916_SWRO Form 26R 2022 Signed-2-28-23.pdf,AWI1664-01,s:AWI1664-01,metadata_cluster
000916_SWRO Form 26R 2022 Signed-2-28-23.pdf,AWL3842-01,s:AWL3842-01,metadata_cluster
000920_PER.pdf,AWA3631-01,s:AWA3631-01,single_report
000962_Thomas 808_RWC802_26R_2023.pdf,9119014-01,s:9119014-01,single_report
000962_Thomas 808_RWC802_26R_2023.pdf,9119014-02,s:9119014-01,single_report
000969_Amigos_802_26RLab.pdf,G1512D69-001,s:G1512D69-001,single_report
000971_Tract 856 822_RWC802_26R_2023.pdf,9119014-01,s:9119014-01,single_report
000971_Tract 856 822_RWC802_26R_2023.pdf,9119014-02,s:9119014-01,single_report
000972_20250709101419408.pdf,WFN6 Sample Designation,s:WFN6 Sample Designation,single_report
000976_20250709102025825.pdf,9J24058-01,s:9J24058-01,single_report
000977_ThunderTwo_802_26RLab.pdf,30556947001,s:30556947001,single_report
000978_20250709102452927.pdf,8111449-02,s:8111449-02,single_report
001039_20250709114926553.pdf,30166699001,s:30166699001,single_report
001049_20250709115434652.pdf,30151983001,s:30151983001,single_report
001055_G2311790.pdf,G23117190-001,s:G23117190-001,single_report
